Dk,DE,Ck,CE,Uk,UE
,,,,34.0994,-1680.463223
,,,,34.444,-1678.362859
,,,,34.5078,-1677.971676
,,,,34.8516,-1675.851243
,,,,34.9162,-1675.450467
,,,,35.2592,-1673.310079
,,,,35.3246,-1672.899595
,,,,35.6668,-1670.739368
,,,,35.733,-1670.31906
,,,,36.0744,-1668.139111
,,,,36.1414,-1667.708861
,,,,36.482,-1665.509307
,,,,36.5498,-1665.069
,,,,36.8896,-1662.849956
,,,,36.9581,-1662.400133
,,,,37.2973,-1660.160394
,,,,37.3665,-1659.700953
,,,,37.7049,-1657.441942
,,,,37.7749,-1656.97211
,,,,38.1125,-1654.693943
,,,,38.1833,-1654.213604
,,,,38.5201,-1651.916397
,,,,38.5917,-1651.425435
,,,,38.9277,-1649.109304
,,,,39.0001,-1648.607603
,,,,39.3353,-1646.272664
,,,,39.4085,-1645.760108
,,,,39.7429,-1643.406477
,,,,39.8169,-1642.882951
,,,,40.1505,-1640.510744
,,,,40.2253,-1639.97613
,,,,40.5581,-1637.585463
,,,,40.6336,-1637.040368
,,,,40.9657,-1634.630636
,,,,41.042,-1634.074229
,,,,41.3734,-1631.645526
,,,,41.4504,-1631.078426
,,,,41.781,-1628.631597
,,,,41.8588,-1628.05296
,,,,42.1886,-1625.588122
,,,,42.2672,-1624.997832
,,,,42.5962,-1622.5151
,,,,42.6756,-1621.91304
,,,,43.0038,-1619.412531
,,,,43.084,-1618.798585
,,,,43.4114,-1616.280414
,,,,43.4924,-1615.654468
,,,,43.819,-1613.118752
,,,,43.9008,-1612.480687
,,,,44.2266,-1609.927542
,,,,44.3092,-1609.277244
,,,,44.6342,-1606.706785
,,,,44.7176,-1606.044137
,,,,45.0418,-1603.456481
,,,,45.126,-1602.781367
,,,,45.4494,-1600.176631
,,,,45.5344,-1599.488935
,,,,45.857,-1596.867233
,,,,45.9427,-1596.167656
,,,,46.2646,-1593.528289
,,,,46.3511,-1592.815905
,,,,46.6722,-1590.159798
,,,,46.7595,-1589.434491
,,,,47.0798,-1586.76176
,,,,47.1679,-1586.023413
,,,,47.4874,-1583.334175
,,,,47.5763,-1582.582673
,,,,47.895,-1579.877043
,,,,47.9847,-1579.11227
,,,,48.3026,-1576.390364
,,,,48.3931,-1575.612203
,,,,48.7102,-1572.874138
,,,,48.8015,-1572.082474
,,,,49.1178,-1569.328366
,,,,49.2099,-1568.523082
,,,,49.5254,-1565.753046
,,,,49.6183,-1564.934027
,,,,49.933,-1562.14818
,,,,50.0267,-1561.315308
,,,,50.3406,-1558.513767
,,,,50.4351,-1557.666927
,,,,50.7482,-1554.849807
,,,,50.8435,-1553.988883
,,,,51.1558,-1551.156299
,,,,51.2519,-1550.281176
,,,,51.5634,-1547.433245
,,,,51.6603,-1546.543805
,,,,51.971,-1543.680645
,,,,52.0687,-1542.776772
,,,,52.3786,-1539.898497
,,,,52.4771,-1538.980076
,,,,52.7862,-1536.086802
,,,,52.8855,-1535.153717
,,,,53.1938,-1532.245561
,,,,53.2939,-1531.297694
,,,,53.6014,-1528.374772
,,,,53.7023,-1527.412009
,,,,54.009,-1524.474437
,,,,54.1107,-1523.496661
,,,,54.4166,-1520.544555
,,,,54.5191,-1519.55165
,,,,54.8242,-1516.585125
,,,,54.9275,-1515.576976
,,,,55.2318,-1512.596149
,,,,55.3359,-1511.572638
,,,,55.6394,-1508.577626
,,,,55.7444,-1507.537647
,,,,56.047,-1504.529557
,,,,56.1528,-1503.473976
,,,,56.4546,-1500.45194
,,,,56.5612,-1499.380643
,,,,56.8622,-1496.344776
,,,,56.9696,-1495.257646
,,,,57.2698,-1492.208066
,,,,57.378,-1491.104987
,,,,57.6773,-1488.042834
,,,,57.7864,-1486.922665
,,,,58.0849,-1483.847037
,,,,58.1948,-1482.710679
,,,,58.4925,-1479.621693
,,,,58.6032,-1478.469031
,,,,58.9001,-1475.366802
,,,,59.0116,-1474.197719
,,,,59.3077,-1471.082364
,,,,59.42,-1469.896745
,,,,59.7153,-1466.76838
,,,,59.8284,-1465.566108
,,,,60.1229,-1462.424848
,,,,60.2369,-1461.204736
,,,,60.5305,-1458.05177
,,,,60.6453,-1456.814765
,,,,60.938,-1453.650228
,,,,61.0537,-1452.395132
,,,,61.3456,-1449.218063
,,,,61.4621,-1447.945835
,,,,61.7532,-1444.756351
,,,,61.8705,-1443.466875
,,,,62.1608,-1440.265093
,,,,62.2789,-1438.958253
,,,,62.5684,-1435.744287
,,,,62.6873,-1434.419967
,,,,62.976,-1431.193934
,,,,63.0958,-1429.850896
,,,,63.3835,-1426.615162
,,,,63.5042,-1425.253277
,,,,63.7911,-1422.005723
,,,,63.9126,-1420.625995
,,,,64.1987,-1417.366737
,,,,64.321,-1415.969051
,,,,64.6063,-1412.698204
,,,,64.7294,-1411.282443
,,,,65.0139,-1408.000124
,,,,65.1379,-1406.565013
,,,,65.4214,-1403.273661
,,,,65.5463,-1401.819072
,,,,65.829,-1398.516495
,,,,65.9547,-1397.043468
,,,,66.2366,-1393.729781
,,,,66.3631,-1392.238201
,,,,66.6442,-1388.913521
,,,,66.7715,-1387.403271
,,,,67.0517,-1384.068907
,,,,67.18,-1382.537483
,,,,67.4593,-1379.19356
,,,,67.5884,-1377.64322
,,,,67.8669,-1374.288666
,,,,67.9968,-1372.719293
,,,,68.2745,-1369.354226
,,,,68.4052,-1367.765704
,,,,68.682,-1364.39146
,,,,68.8137,-1362.781228
,,,,69.0896,-1359.397933
,,,,69.2221,-1357.768305
,,,,69.4972,-1354.374859
,,,,69.6305,-1352.72572
,,,,69.9048,-1349.322238
,,,,70.039,-1347.652226
,,,,70.3123,-1344.241321
,,,,70.4474,-1342.550307
,,,,70.7199,-1339.129613
,,,,70.8558,-1337.418725
,,,,71.1275,-1333.988359
,,,,71.2643,-1332.256213
,,,,71.535,-1328.81883
,,,,71.6727,-1327.065298
,,,,71.9426,-1323.618489
,,,,72.0811,-1321.84472
,,,,72.3502,-1318.388602
,,,,72.4896,-1316.593189
,,,,72.7577,-1313.130461
,,,,72.898,-1311.313278
,,,,73.1653,-1307.841487
,,,,73.3064,-1306.003704
,,,,73.5728,-1302.524274
,,,,73.7149,-1300.663155
,,,,73.9804,-1297.176213
,,,,74.1233,-1295.294248
,,,,74.388,-1291.798606
,,,,74.5317,-1289.895677
,,,,74.7955,-1286.392781
,,,,74.9402,-1284.466111
,,,,75.2031,-1280.956087
,,,,75.3486,-1279.008207
,,,,75.6106,-1275.491191
,,,,75.7571,-1273.519293
,,,,76.0182,-1269.99541
,,,,76.1655,-1268.002056
,,,,76.4258,-1264.470082
,,,,76.574,-1262.453794
,,,,76.8333,-1258.916574
,,,,76.9824,-1256.877224
,,,,77.2409,-1253.33216
,,,,77.3908,-1251.27099
,,,,77.6484,-1247.71958
,,,,77.7993,-1245.63371
,,,,78.056,-1242.076079
